good,dirty,wait,lastyear,usa
1,0,1.99,2,1
1,0,1.31,10,1
1,0,1.68,1,1
0,0,1.31,4,1
0,0,1.39,1,1
0,0,1.31,1,1
0,0,5.66,4,1
1,0,1.14,1,1
1,0,1.31,1,1
1,0,0.81,1,1
0,0,5.33,1,1
1,0,5.33,1,1
1,0,5.58,1,1
0,0,1.58,4,1
0,0,4.24,1,1
1,0,0.81,1,1
1,0,1.06,1,1
0,1,0.81,3,1
0,1,1.31,1,1
1,0,1.06,2,1
1,0,1.66,1,0
1,0,1.66,1,0
1,0,2.06,1,0
1,0,2.88,2,0
0,0,1.66,1,0
0,0,5.66,2,0
1,0,1.14,1,0
1,0,1.79,1,0
0,2,1.14,7,0
1,0,1.39,1,0
0,0,5.66,2,0
1,0,0.98,1,0
1,0,1.66,2,0
0,0,5.74,2,0
0,0,5.74,1,0
1,0,5.74,1,0
1,0,5.74,4,0
1,0,5.74,1,0
1,0,5.74,1,0
0,0,5.74,3,0
0,0,5.74,1,0
0,0,5.74,4,0
1,0,5.74,5,0
1,0,5.74,2,0
1,0,5.74,4,0
0,0,5.74,2,0
1,0,5.74,1,0
0,0,5.74,2,0
1,0,5.74,5,0
0,0,2.21,2,0
1,0,2.28,2,0
1,0,3.28,2,0
1,0,2.69,8,0
1,0,2.28,9,0
0,0,1.38,1,0
1,0,0.88,6,0
1,0,3.01,5,0
0,0,1.86,2,0
1,0,2.28,7,0
1,0,1.13,2,0
0,0,2.28,2,0
0,1,2.49,14,0
1,0,3.54,3,0
0,0,1.64,2,0
0,0,1.86,8,0
0,0,3.28,3,0
1,0,5.74,2,0
0,0,5.74,2,0
0,0,5.74,1,0
1,0,5.74,6,0
0,0,5.74,1,0
1,0,5.74,1,0
1,0,5.74,2,0
0,0,5.74,2,0
0,0,5.74,1,0
0,0,5.74,2,0
0,0,5.74,4,0
1,0,5.74,2,0
0,0,5.74,5,0
1,0,5.74,2,0
1,0,5.74,1,0
1,0,5.74,1,0
1,0,1.31,5,1
0,0,5.66,3,1
1,0,1.79,1,1
1,0,1.48,4,1
0,0,3.24,1,1
0,2,2.23,2,1
1,2,5.23,1,1
1,0,5.23,1,1
0,0,5.33,3,1
0,0,0.81,3,1
1,0,5.58,2,1
0,0,0.81,2,1
1,0,5.58,1,1
0,0,5.58,1,1
0,0,5.01,2,1
0,0,5.01,1,1
0,0,5.33,1,1
1,0,4.99,1,1
0,0,0.81,1,1
1,0,0.81,1,1
0,0,5.74,2,1
1,0,5.74,1,1
1,1,1.78,9,1
0,0,4.06,1,1
0,0,4.59,1,1
1,0,1.38,1,1
1,2,3.36,14,1
0,1,4.23,3,1
0,0,1.98,5,1
1,0,1.98,1,1
1,0,1.04,1,1
0,0,5.56,9,1
1,0,5.31,2,1
1,0,1.54,1,1
1,0,4.63,1,1
0,0,0.79,3,1
0,0,1.04,1,1
0,0,1.98,1,1
0,0,3.11,4,1
1,0,1.04,1,1
1,0,1.04,1,1
0,0,5.56,4,1
1,0,1.04,50,1
0,0,1.54,2,1
0,0,1.54,10,1
0,0,1.04,3,1
0,0,5.31,50,1
1,0,4.79,1,1
1,0,4.61,5,1
0,0,5.31,8,1
1,0,5.18,2,1
0,0,2.81,4,1
1,2,3.89,6,1
1,0,1.73,0,1
1,0,1.06,1,1
1,0,2.43,1,1
1,0,2.43,1,1
0,0,1.58,2,1
0,0,5.58,3,1
0,0,5.58,1,1
1,0,3.39,3,1
1,1,5.58,16,1
0,0,0.81,70,1
1,1,5.33,5,1
1,0,1.99,6,1
1,0,1.58,2,1
1,0,1.06,5,1
1,0,0.89,1,1
0,0,1.99,29,1
1,1,0.81,1,1
1,0,1.31,1,1
1,0,5.58,1,1
1,0,2.43,2,1
0,0,3.09,8,1
0,2,1.31,1,1
0,0,5.58,2,1
1,0,5.33,4,1
0,0,5.03,2,1
0,0,5.58,1,1
0,0,5.58,9,1
1,0,5.49,10,1
1,0,1.06,0,1
1,0,2.43,2,1
1,0,1.99,3,1
1,0,5.18,2,1
1,0,5.64,4,1
1,0,5.48,1,1
1,0,1.71,1,1
1,0,1.21,1,1
0,0,5.18,6,1
1,0,5.39,4,1
0,0,0.96,3,1
0,0,5.18,2,1
1,0,4.61,60,1
0,0,5.48,0,1
0,0,4.79,7,1
1,1,5.39,18,1
1,0,5.73,49,1
1,0,1.71,9,1
1,0,1.21,2,1
0,0,0.96,1,1
1,1,5.73,4,1
1,0,5.18,3,1
1,0,1.21,5,1
0,0,2.23,6,0
1,0,2.43,3,0
0,0,0.89,1,0
1,0,2.43,2,0
1,0,1.31,1,0
0,0,1.06,2,0
1,0,1.99,2,0
0,0,1.14,3,0
1,0,0.89,5,0
1,0,5.58,2,0
1,1,1.99,1,0
1,0,1.06,3,0
1,0,1.99,2,0
1,0,1.06,4,0
1,0,0.81,2,0
1,0,5.58,2,0
1,0,1.58,1,0
0,0,1.99,2,0
0,0,1.06,2,0
0,1,1.88,4,1
1,1,0.73,4,1
0,1,1.88,2,1
0,0,1.39,1,1
1,0,0.89,1,1
0,0,1.39,4,1
0,0,5.41,3,1
1,0,2.29,1,1
0,0,1.39,1,1
0,0,1.14,2,1
1,0,2.29,1,1
0,0,1.14,1,1
1,0,5.66,1,1
0,1,5.41,3,1
1,0,0.73,1,1
1,0,0.89,1,1
1,0,0.89,1,1
0,0,5.66,5,1
0,0,0.89,9,1
0,0,5.41,1,1
0,0,5.41,5,1
1,0,5.74,1,1
1,0,5.41,4,1
0,0,5.41,5,1
1,0,0.89,1,1
1,0,0.98,1,1
1,0,0.98,2,1
1,0,1.48,1,1
1,0,2.36,9,1
0,0,5.33,1,1
1,0,2.36,2,1
1,0,1.23,2,1
1,0,5.66,7,1
1,0,0.73,1,1
1,0,1.23,1,1
1,0,1.23,1,1
1,0,2.14,1,1
1,0,1.23,3,1
1,0,0.73,6,1
0,0,5.66,3,1
1,0,1.73,4,1
1,0,5.49,11,1
1,0,1.96,5,1
1,0,1.31,1,1
1,0,1.31,8,1
1,0,2.81,1,1
1,0,1.06,6,1
1,0,4.26,1,1
0,0,5.58,2,1
0,0,1.58,1,1
0,0,1.99,3,1
1,0,1.58,1,1
1,0,1.58,33,1
1,0,4.48,2,1
0,0,4.28,1,1
1,0,1.14,2,1
1,0,2.88,1,1
0,0,1.66,4,1
1,0,3.61,2,1
1,0,1.99,6,0
1,0,1.31,1,0
1,0,2.43,1,0
0,0,2.43,1,0
0,0,2.43,2,0
1,0,2.23,1,0
1,0,3.26,2,0
1,0,2.81,1,0
1,0,1.58,1,0
0,0,2.23,1,0
1,0,1.99,3,0
1,0,1.99,1,0
0,0,1.99,1,0
0,0,2.43,1,0
0,0,1.39,1,0
1,0,2.43,1,0
1,0,2.43,8,0
1,1,1.58,1,0
0,2,5.21,0,0
0,0,5.58,2,0
0,0,1.99,1,0
0,0,1.23,1,0
0,0,1.23,3,0
0,1,3.23,3,0
0,0,3.13,1,0
0,0,1.58,2,0
1,0,1.73,1,0
0,0,3.51,3,0
1,0,1.73,1,0
0,0,2.93,2,0
0,0,1.24,6,0
1,0,2.93,3,0
0,0,3.69,1,0
1,0,1.73,1,0
1,0,3.89,4,0
0,0,1.66,2,0
1,0,1.73,1,0
1,0,1.23,2,0
1,0,2.14,5,0
0,0,1.06,1,0
0,0,3.13,1,0
0,0,1.96,4,0
0,0,1.48,1,0
1,0,2.51,1,0
1,0,1.66,1,0
1,0,2.51,1,0
1,0,1.14,21,0
1,1,2.06,2,0
1,0,2.06,5,0
0,0,1.66,21,0
0,0,2.29,1,0
1,0,1.66,4,0
0,0,4.41,2,0
1,0,1.48,3,0
1,0,0.81,5,0
0,0,1.14,7,0
1,0,2.29,3,0
0,0,2.29,3,0
1,0,3.16,1,0
0,0,2.16,2,0
0,0,2.51,1,0
1,0,2.73,2,0
1,0,2.06,2,0
1,0,2.06,2,0
1,0,1.14,7,0
0,0,2.14,5,0
0,0,1.14,1,0
1,0,2.36,1,0
1,0,2.36,2,0
1,0,1.48,1,0
0,0,3.58,2,0
0,0,1.96,3,0
1,0,3.13,2,0
0,0,1.96,4,0
0,0,1.48,2,0
0,0,1.48,2,0
1,0,2.14,1,0
0,0,5.74,1,0
0,0,2.78,4,0
1,0,1.96,1,0
1,0,3.34,4,0
0,0,1.96,1,0
0,0,1.96,1,0
0,0,1.48,2,0
1,0,1.48,1,0
1,0,1.48,7,0
1,1,1.48,5,0
